CLASSES             PROBABILITIES
[u'B', u'H', u'S']  [0.3821021318435669, 0.40914809703826904, 0.20874980092048645]
[u'B', u'H', u'S']  [0.5747857093811035, 0.4192339777946472, 0.005980323068797588]
[u'B', u'H', u'S']  [0.2914240062236786, 0.3405149579048157, 0.3680610656738281]
[u'B', u'H', u'S']  [0.5515596270561218, 0.43894097208976746, 0.009499380365014076]
[u'B', u'H', u'S']  [0.5881975889205933, 0.4075062870979309, 0.004296185914427042]
[u'B', u'H', u'S']  [0.44308343529701233, 0.48254603147506714, 0.07437052577733994]
[u'B', u'H', u'S']  [0.6055521368980408, 0.39152202010154724, 0.002925798064097762]
[u'B', u'H', u'S']  [0.605270266532898, 0.3917853534221649, 0.002944376552477479]
[u'B', u'H', u'S']  [0.6047037839889526, 0.3923141658306122, 0.002982080215588212]
[u'B', u'H', u'S']  [0.3712197542190552, 0.43142810463905334, 0.1973521113395691]
[u'B', u'H', u'S']  [0.2936047613620758, 0.347439169883728, 0.35895606875419617]
[u'B', u'H', u'S']  [0.3395759165287018, 0.39992615580558777, 0.26049792766571045]
[u'B', u'H', u'S']  [0.3405590057373047, 0.40104585886001587, 0.25839516520500183]
[u'B', u'H', u'S']  [0.34667906165122986, 0.40799811482429504, 0.24532274901866913]
[u'B', u'H', u'S']  [0.35296303033828735, 0.41390612721443176, 0.23313087224960327]
[u'B', u'H', u'S']  [0.5942673087120056, 0.4019700884819031, 0.0037625725381076336]
[u'B', u'H', u'S']  [0.599784255027771, 0.39688631892204285, 0.003329431638121605]
[u'B', u'H', u'S']  [0.5985665917396545, 0.3980126976966858, 0.00342077249661088]
[u'B', u'H', u'S']  [0.6010318994522095, 0.395730584859848, 0.0032374695874750614]
[u'B', u'H', u'S']  [0.32002007961273193, 0.37614384293556213, 0.3038361370563507]
[u'B', u'H', u'S']  [0.44277533888816833, 0.4746578335762024, 0.08256678283214569]
[u'B', u'H', u'S']  [0.557485818862915, 0.4342566132545471, 0.00825751293450594]
[u'B', u'H', u'S']  [0.41997891664505005, 0.44914761185646057, 0.13087345659732819]
[u'B', u'H', u'S']  [0.4974353313446045, 0.4710763394832611, 0.031488314270973206]
[u'B', u'H', u'S']  [0.5513688921928406, 0.4391852915287018, 0.00944578554481268]
[u'B', u'H', u'S']  [0.6080169081687927, 0.38921529054641724, 0.0027678736951202154]
[u'B', u'H', u'S']  [0.6107295751571655, 0.3866674304008484, 0.002602978842332959]
[u'B', u'H', u'S']  [0.5823268294334412, 0.41279464960098267, 0.004878450650721788]
[u'B', u'H', u'S']  [0.421368807554245, 0.4709221124649048, 0.10770910978317261]
[u'B', u'H', u'S']  [0.6114780902862549, 0.3859628438949585, 0.002559093991294503]
[u'B', u'H', u'S']  [0.5777497291564941, 0.41686955094337463, 0.005380717106163502]
[u'B', u'H', u'S']  [0.31574535369873047, 0.37388888001441956, 0.31036579608917236]
[u'B', u'H', u'S']  [0.31465816497802734, 0.3724745512008667, 0.31286725401878357]
[u'B', u'H', u'S']  [0.5529493689537048, 0.43804797530174255, 0.009002652019262314]
[u'B', u'H', u'S']  [0.610199511051178, 0.38716617226600647, 0.0026342321652919054]
